Result,Nationality,Points,Rider,Year,Date,Race,Weather
25,Ger,36,Fischbach Johannes,2022,04/09/2022,Val di Sole,Dry
26,Por,35,Reis Nuno,2022,04/09/2022,Val di Sole,Dry
27,Ita,34,Introzzi Stefano,2022,04/09/2022,Val di Sole,Dry
28,Fra,33,Garcin Johan,2022,04/09/2022,Val di Sole,Dry
29,Brt,32,Hart Danny,2022,04/09/2022,Val di Sole,Dry
30,Fra,31,Laly Thibault,2022,04/09/2022,Val di Sole,Dry
31,Usa,30,Mulally Neko,2022,04/09/2022,Val di Sole,Dry
32,Irl,29,Kerr Henry,2022,04/09/2022,Val di Sole,Dry
33,Aut,28,Trummer David,2022,04/09/2022,Val di Sole,Dry
34,Sui,27,Lehmann Lino,2022,04/09/2022,Val di Sole,Dry
35,Sui,26,Lehmann Janis,2022,04/09/2022,Val di Sole,Dry
36,Fra,25,Rilat Emile,2022,04/09/2022,Val di Sole,Dry
37,Aus,24,Frew Jackson,2022,04/09/2022,Val di Sole,Dry
38,Fra,23,Payet Florent,2022,04/09/2022,Val di Sole,Dry
39,Nzl,22,Brannigan George,2022,04/09/2022,Val di Sole,Dry
40,Can,21,Jewett Jakob,2022,04/09/2022,Val di Sole,Dry
41,Can,20,Mcdowall Kirk,2022,04/09/2022,Val di Sole,Dry
42,Sui,19,Baechler Yannick,2022,04/09/2022,Val di Sole,Dry
43,Nor,18,Smestad Simen,2022,04/09/2022,Val di Sole,Dry
44,Esp,17,Menoyo Busquets Pau,2022,04/09/2022,Val di Sole,Dry
45,Brt,16,Atwill Philip,2022,04/09/2022,Val di Sole,Dry
46,Can,15,Jamieson Elliot,2022,04/09/2022,Val di Sole,Dry
47,Sct,14,Wilson Reece,2022,04/09/2022,Val di Sole,Dry
48,Fra,13,Frixtalon Hugo,2022,04/09/2022,Val di Sole,Dry
49,Can,12,Wallace Mark,2022,04/09/2022,Val di Sole,Dry
50,Swe,11,Zwar Kvist Benjamin,2022,04/09/2022,Val di Sole,Dry
51,Nzl,10,Macdermid James,2022,04/09/2022,Val di Sole,Dry
52,Brt,9,Greenland Laurie,2022,04/09/2022,Val di Sole,Dry
53,Fra,8,Pierron Amaury,2022,04/09/2022,Val di Sole,Dry
54,Brt,7,Vernon Taylor,2022,04/09/2022,Val di Sole,Dry
55,Can,6,Sherlock Seth,2022,04/09/2022,Val di Sole,Dry
